,FIPS Code,State Name,State Abbreviation,Type of Voter ID,Year In Effect
1,0,United States,USA,National Average,NA
2,1,Alabama,AL,Non-Strict Photo ID,2014
3,2,Alaska,AK,Non-Strict Non-Photo ID,1980
4,3,Arizona,AZ,Strict Non-Photo ID,2004
5,4,Arkansas,AR,Non-Strict Photo ID,2017
6,5,California,CA,None,NA
7,6,Colorado,CO,Non-Strict Non-Photo ID,2003
8,7,Connecticut,CT,Non-Strict Non-Photo ID,1993
9,8,Delaware,DE,Non-Strict Non-Photo ID,1996
10,9,District of Columbia,DC,None,NA
11,10,Florida,FL,Non-Strict Photo ID,1977
12,11,Georgia,GA,Strict Photo ID,2008
13,12,Hawaii,HI,Non-Strict Photo ID,1970
14,13,Idaho,ID,Non-Strict Photo ID,2010
15,14,Illinois,IL,None,NA
16,15,Indiana,IN,Strict Photo ID,2008
17,16,Iowa,IA,Non-Strict Non-Photo ID,2019
18,17,Kansas,KS,Strict Photo ID,2011
19,18,Kentucky,KY,Non-Strict Non-Photo ID,1988
20,19,Louisiana,LA,Non-Strict Photo ID,1997
21,20,Maine,ME,None,NA
22,21,Maryland,MD,None,NA
23,22,Massachusetts,MA,None,NA
24,23,Michigan,MI,Non-Strict Photo ID,2007
25,24,Minnesota,MN,Debate,2012
26,25,Mississippi,MS,Strict Photo ID,2011
27,26,Missouri,MO,Non-Strict Non-Photo ID,2002
28,27,Montana,MT,Debate,2013
29,28,Nebraska,NE,None,NA
30,29,Nevada,NV,None,NA
31,30,New Hampshire,NH,Non-Strict Non-Photo ID,2012
32,31,New Jersey,NJ,None,NA
33,32,New Mexico,NM,None,NA
34,33,New York,NY,None,NA
35,34,North Carolina,NC,Non-Strict Non-Photo ID,2015
36,35,North Dakota,ND,Strict Non-Photo ID,2015
37,36,Ohio,OH,Strict Non-Photo ID,2006
38,37,Oklahoma,OR,Non-Strict Non-Photo ID,2010
39,38,Oregon,OK,None,NA
40,39,Pennsylvania,PA,Debate,2014
41,40,Rhode Island,RI,Non-Strict Photo ID,2011
42,41,South Carolina,SC,Non-Strict Non-Photo ID,2011
43,42,South Dakota,SD,Non-Strict Photo ID,2003
44,43,Tennessee,TN,Strict Photo ID,2011
45,44,Texas,TX,Non-Strict Photo ID,2017
46,45,Utah,UT,Non-Strict Non-Photo ID,2009
47,46,Vermont,VT,None,NA
48,47,Virginia,VA,Strict Photo ID,2012
49,48,Washington,WA,Non-Strict Non-Photo ID,2005
50,49,West Virginia,WV,Non-Strict Non-Photo ID,2018
51,50,Wisconsin,WI,Strict Photo ID,2015
52,51,Wyoming,WY,None,NA
